Date,Type,Link,Description
1/3/2009,Milestone,https://thenextweb.com/hardfork/2018/01/03/bitcoin-block-zero-first-blockchain/,The very first Bitcoin block was mined by creator Satoshi Nakamoto for 50 bitcoins.
5/22/2010,Milestone,https://munchies.vice.com/en_us/article/j5e4pg/remembering-that-time-a-dude-unknowingly-spent-dollar20-million-on-two-pizzas,"First purchase was made with Bitcoin.  The purchase was for two pizzas priced as around $25 total.  At the time, those pizzas cost 10,000 bitcoins, meaning the coins themselves were valued at 0.0025."
7/1/2010,Milestone,https://bitcointalk.org/index.php?topic=444.0,Bitcoin currency exchange market Mt. Gox is established.  Mt. Gox would become center of bitcoin tading over the next three years.
11/6/2010,Milestone,https://web.archive.org/web/20110204025853/http://silkroad420.wordpress.com/,"The ""Silk Road"" drug marketplace is established on the darknet.  Referred to as the eBay of illegal drugs, the site allowed users to anonymous purchase drugs through Bitcoin."
6/12/2011,Crash,https://bitcoinmagazine.com/articles/anniversary-of-the-great-bubble-of-2011-1339139269/,"Referred to as ""The Great Bubble of 2011"", this day market the great percentage price decrese to date, from $31.91 to $10.  Bitcoin's price was intially peaking in response to a Gawker piece exposes the ""Silk Road"" drug marketplace going viral.  This crash was in response to the largest Bitcoin theft ever report, in which 250,000 BTC was stolen from a user's Bitcoin wallet, valued at roughly $500,000.  Bitcoin's value wouldn't return to this peak for another two years."
5/9/2012,Milestone,https://www.wired.com/images_blogs/threatlevel/2012/05/Bitcoin-FBI.pdf,"FBI report on Bitcoin leaked.  Titled ""Bitcoin Virtual Currency: Unique Features Present Distinct Challenges for Deterring Illicit Activity"", the report drew attention to the potential for Bitcoin to be utilized for illegal transaction regarding weapons and narcotics. "
11/15/2012,Milestone,https://en.blog.wordpress.com/2012/11/15/pay-another-way-bitcoin/,Popular blogging website Wordpress announces that it will begin to accept Bitcoin.
3/28/2013,Boom,http://money.cnn.com/2013/03/28/investing/bitcoin-cyprus/,Bitcoin price surges in response to bailout of Crypus' banks.
4/11/2013,Crash,http://money.cnn.com/2013/04/12/investing/bitcoin-bubble/index.html,"Dubbed the ""April 2013 Meltdown"".  Bitcoin's price fell from $233 to $67 overnight."
8/12/2013,Milestone,http://onbitcoin.com/2013/08/13/22-bitcoin-companies-issued-subpoena-by-new-york-department-of-financial-services/,22 bitcoin companies are issued a subpoena by The New York Department of Financial Services.  The aim of the subpoenas were to investigate concerns of Bitcoin being utilized for illegal activities to determine if regulatory action was necessary.
10/2/2013,Crash,https://www.usatoday.com/story/news/nation/2013/10/21/fbi-cracks-silk-road/2984921/,"The FBI shuts down the Silk Road leading to a small crash in Bitcoin's value.  A second version of the site would emerge a month later, only to be sebsquently shut down by the FBI again the following year."
10/31/2015,Milestone,https://www.economist.com/news/leaders/21677198-technology-behind-bitcoin-could-transform-how-economy-works-trust-machine,"Bitcoin is featured on the front page of The Economist, one of the largest economic newspapers in the world.  It's featured article ""The Trust Machine"" focuses on the potential of blockchain technology in banking to increase security."
4/27/2016,Milestone,https://bravenewcoin.com/news/steam-accepts-bitcoin-with-bitpay/,Digitil video game distribution platform Steam announces that it will accept Bitcoin for purchases.
3/2/2017,Milestone,https://techcrunch.com/2017/03/02/one-bitcoin-is-now-worth-more-than-one-ounce-of-gold/,A single bitcoin is now worth as much as an ounce of gold
4/1/2017,Milestone,https://bravenewcoin.com/news/bitcoin-regulation-overhaul-in-japan/,The Japanese government officially recognizes Bitcoin as a legal method of payment.
10/16/2017,Milestone,https://www.cnbc.com/2017/10/16/wikileaks-julian-assange-bitcoin-50000-percent-return-thanks-to-us-government.html,"Julian Assange, the founder of Wikileaks, claim to have made a 50,000% return on Bitcoin from investing so early in it's lifespan (Wikileaks began accepting Bitcoin in 2011)."
12/17/2017,Boom,http://fortune.com/2017/12/17/bitcoin-record-high-short-of-20000/,Bitcoin reaches it's highest price as of today.
12/22/2017,Crash,http://money.cnn.com/2017/12/22/investing/bitcoin-plunges-below-14k/index.html,Bitcoin loses one third of it's value in a single day.
2/7/2014,Crash,https://techcrunch.com/2014/02/06/mt-gox-temporarily-pauses-bitcoin-withdrawals/,"Numerous major Bitcoin exchanges, including Mt. Gox, are hit with a massive DDOS (distributed denial of service) attack, forcing the exchanges to pause withdrawals for a number of days.  Mt. Gox would subsequently shut down it's operations entirely in response to the attack."
3/26/2014,Milestone,https://www.bloomberg.com/news/articles/2014-03-25/bitcoin-is-property-not-currency-in-tax-system-irs-says,"The IRS declares that Bitcoin is to be taxed as property, rather than currency.  This decision proved to be unpopular, especially considering that until this point exchanging Bitcoin was a tax-free process."
